"Activity_name" "Subjects" "1_tBodyAcc-mean()-X" "6_tBodyAcc-std()-Z" "41_tGravityAcc-mean()-X" "46_tGravityAcc-std()-Z" "81_tBodyAccJerk-mean()-X" "86_tBodyAccJerk-std()-Z" "121_tBodyGyro-mean()-X" "126_tBodyGyro-std()-Z" "161_tBodyGyroJerk-mean()-X" "166_tBodyGyroJerk-std()-Z" "201_tBodyAccMag-mean()" "202_tBodyAccMag-std()" "253_tBodyGyroJerkMag-mean()" "254_tBodyGyroJerkMag-std()" "270_fBodyAcc-std()-Y" "345_fBodyAccJerk-mean()-X" "350_fBodyAccJerk-std()-Z" "373_fBodyAccJerk-meanFreq()-X" "425_fBodyGyro-mean()-Y" "453_fBodyGyro-meanFreq()-Y" "513_fBodyAccMag-meanFreq()" "529_fBodyBodyGyroMag-mean()" "530_fBodyBodyGyroMag-std()"
"LAYING" 1 0.22159824394 -0.826061401628 -0.24888179828 -0.85236629022 0.0810865342 -0.9548551108 -0.016553093978 -0.9082846626 -0.107270949192 -0.9577901596 -0.8419291525 -0.79514486386 -0.96346103 -0.9358409828 -0.8336255561 -0.9570738838 -0.9605869872 0.132419092398 -0.9521914948 -0.091529130882 0.08640856294 -0.8621901854 -0.82431943968
"LAYING" 2 0.281373403958333 -0.984233296875 -0.509754238125 -0.984230418125 0.0825972511666667 -0.988442014375 -0.01847660675 -0.960306560416667 -0.101974134208333 -0.98803582125 -0.977435485208333 -0.972873912916667 -0.991767074166667 -0.989718095208333 -0.981025105625 -0.985813630833333 -0.989345368541667 0.159808328563875 -0.983321635416667 0.04228066839375 0.2662982125 -0.972112972708333 -0.96109837875
"LAYING" 3 0.275516852741935 -0.96369103483871 -0.241758478064516 -0.964807543870968 0.0769811125806452 -0.982093162903226 -0.0208170540330645 -0.963505609032258 -0.10004449883871 -0.983338279516129 -0.972791346129032 -0.964218176451613 -0.98671362516129 -0.983139255645161 -0.964094604193548 -0.980513202258064 -0.983711904677419 0.17597855438871 -0.978099682258065 -0.0266820108903226 0.236990127870968 -0.96458672483871 -0.955441855806452
"LAYING" 4 0.263559214981481 -0.962667314814815 -0.420664662222222 -0.976176608888889 0.0934494217777778 -0.978511984259259 -0.00923156347222222 -0.962073755 -0.105019877685185 -0.983965359814815 -0.954557603148148 -0.931292216611111 -0.985068502037037 -0.982698213703704 -0.946380971111111 -0.978542457407407 -0.980261236296296 0.182436483157407 -0.972187839074074 -0.526889995562963 0.241697899814815 -0.961556660185185 -0.947100325185185
"LAYING" 5 0.278334325576923 -0.968562516346154 -0.483470597692308 -0.977076645 0.0848164824230769 -0.985419368461538 -0.0218935013501923 -0.960583776923077 -0.102114125 -0.989679592307692 -0.966777882884615 -0.958612786346154 -0.9864194225 -0.98377138 -0.972909186730769 -0.982689657115385 -0.986135599038461 0.239915157321154 -0.978249645769231 0.06812484775 0.292032094967308 -0.968257068846154 -0.959263063269231
"LAYING" 6 0.248656520140351 -0.925216100350877 -0.47670987877193 -0.928130738421053 0.0963481955263158 -0.959646055263158 -0.0079605026754386 -0.939141878596491 -0.111267284631579 -0.959579071578947 -0.918878850824561 -0.897326245964912 -0.955645738245614 -0.953157001578947 -0.929711219929825 -0.967072436842105 -0.963567540877193 0.0114731894070175 -0.941771544385965 0.0236567802333333 0.1446050868 -0.930153639473684 -0.928694890175439
"LAYING" 7 0.250176694038462 -0.952978365961539 -0.502814250576923 -0.961908984423077 0.0968904018076923 -0.972983064230769 -0.00282641913096154 -0.955294890576923 -0.105944243484615 -0.988871878269231 -0.936392023846154 -0.907039513153846 -0.983008829038462 -0.971205137884615 -0.922917902307692 -0.980393046923077 -0.975072995192308 0.0207159202961538 -0.957570207692308 -0.453725644769231 -0.129091025169231 -0.941130719230769 -0.918892518653846
"LAYING" 8 0.261254282907407 -0.932491454407407 -0.405930036111111 -0.94183626337037 0.0878326902592593 -0.96608757462963 0.00535361206851852 -0.96758975462963 -0.106445008314815 -0.987601203703704 -0.935308633888889 -0.91325033 -0.978438191296296 -0.969029111666667 -0.931236756962963 -0.973110596111111 -0.968699222962963 0.164984298959259 -0.957411160185185 -0.199880205519074 0.0484988463518519 -0.944528950555556 -0.93678697
"LAYING" 9 0.2591955368 -0.9407072854 -0.5802528348 -0.9712046902 0.08807344764 -0.958562455 -0.013632036148 -0.9615953704 -0.10384667982 -0.9770761602 -0.9308684376 -0.91512680016 -0.964524819 -0.9528015598 -0.9128367508 -0.964304065 -0.9597147176 -0.08503093738 -0.9345796594 -0.321206958058 -0.085609052452 -0.9186053356 -0.9034005814
"LAYING" 10 0.280230574137931 -0.95947148637931 -0.453069737586207 -0.963045642431035 0.073815064487931 -0.976256662586207 -0.019555937162069 -0.971940597413793 -0.100308254413793 -0.983949302758621 -0.956781819655172 -0.940301654482759 -0.970830848965517 -0.959632931551724 -0.946229148258621 -0.979014668793104 -0.978582339137931 0.0485572099491379 -0.954670034482759 0.0713125646482759 0.260388946262069 -0.937692642586207 -0.933701315344828
"LAYING" 11 0.280592970877193 -0.971311176842105 -0.134832031403509 -0.984192606315789 0.0766645337017544 -0.982111784210526 -0.0191743840136842 -0.959897432807018 -0.102297501877193 -0.986549063333333 -0.980621180175439 -0.972891829473684 -0.990641248245614 -0.984476476666667 -0.973589287368421 -0.984884874385965 -0.983302949122807 0.178104551486316 -0.982640271929825 0.104942477754386 0.336010660578947 -0.967093356491228 -0.954849053508772
"LAYING" 12 0.260113433 -0.9483338435 -0.3785920653 -0.9596439555 0.0854295393833333 -0.970629308166667 -0.0146546807316667 -0.950157442166667 -0.0990402297166667 -0.969953929666667 -0.9482046755 -0.936542686833333 -0.971067768833333 -0.962012018333333 -0.9506400405 -0.968742758833333 -0.972713844666667 0.083907082125 -0.95256172 -0.0199866541433333 0.0818083852738333 -0.9454970225 -0.940373827666667
"LAYING" 13 0.276716360483871 -0.950392995483871 -0.156852206467742 -0.959892863709677 0.0767774832096774 -0.983070657419355 -0.00973609968045161 -0.967350513709677 -0.101835573822581 -0.989801549193548 -0.960517768225806 -0.947944746612903 -0.98544626483871 -0.975113305645161 -0.947462328225806 -0.985199684354839 -0.983670049354839 0.169895805430645 -0.968689729193548 -0.042663103 0.0815111222612903 -0.957681621290323 -0.946133432096774
"LAYING" 14 0.233275439803922 -0.900331921686275 -0.145483631627451 -0.90130385627451 0.098140384845098 -0.972431855490196 0.00505221181607843 -0.952296965294118 -0.105446637019608 -0.979711372941176 -0.905978250196078 -0.856593119215686 -0.975621183137255 -0.964009921960784 -0.905221049156863 -0.972010709215686 -0.97491443 -0.158599091641176 -0.938087898235294 -0.277833948752941 -0.131771172645098 -0.930151731176471 -0.917760104901961
"LAYING" 15 0.2894756525 -0.929586835277778 -0.1719930545 -0.950710357083333 0.0767515438611111 -0.978402956527778 -0.0168300887791667 -0.956537051666667 -0.102266714236111 -0.980112732777778 -0.955340661527778 -0.943314107916667 -0.983235025416667 -0.973650041666667 -0.964590430138889 -0.981329999027778 -0.980745097361111 0.114787481842222 -0.964310893611111 -0.146020121881944 0.127358410820833 -0.946812642361111 -0.923682244861111
"LAYING" 16 0.274227162571429 -0.965490276285714 -0.206783742242857 -0.967886002 0.0783960268571429 -0.987644127 -0.0161545406857143 -0.984781484857143 -0.1022095722 -0.994465157714286 -0.961834634857143 -0.957895927714286 -0.990839526285714 -0.988212425428571 -0.937083636714286 -0.988580046285714 -0.988348904571429 0.06559671734 -0.976092920571429 -0.2155078006 -0.121302340485714 -0.970249638857143 -0.958975084
"LAYING" 17 0.269780085577465 -0.953476700140845 -0.19913309 -0.957164565211268 0.077908974656338 -0.98281300056338 -0.0234756467113239 -0.976200771267606 -0.102049763957746 -0.988221713380282 -0.953021411126761 -0.948257993521127 -0.985542411126761 -0.982038121126761 -0.942791615915493 -0.98147206915493 -0.983854158873239 0.188447976580282 -0.973669098591549 0.0154847631971831 -0.0494678208816901 -0.969014444788732 -0.96002383915493
